Task2_V3 target=background-normalized enhancement
Profile cache=/data/cd25/task2_V1/3D_UNet_pft/processed/richmond_average_profile_cache_m02_10_z001_010
Train samples=2242 val samples=278 depth=16
Feature channels: local=30, global=16
Global context enabled=True
Previous timestep CO2 is excluded completely. Target/reconstruction use current incoming background CO2.
Using device=cuda
Enhancement mean per z=[8.688699722290039, 8.134200096130371, 7.724999904632568, 7.071800231933594, 6.390399932861328, 5.827099800109863, 5.3709001541137695, 4.990799903869629, 4.65339994430542, 4.347899913787842, 4.063499927520752, 3.797800064086914, 3.55430006980896, 3.3252999782562256, 3.113800048828125, 2.918600082397461]
Enhancement std per z=[8.835000038146973, 8.336600303649902, 8.104700088500977, 7.736299991607666, 7.3643999099731445, 7.0279998779296875, 6.707499980926514, 6.4105000495910645, 6.115099906921387, 5.817999839782715, 5.52869987487793, 5.247799873352051, 4.9944000244140625, 4.770599842071533, 4.57859992980957, 4.4166998863220215]
Valid fraction per z=[0.6017000079154968, 0.8478999733924866, 0.9879999756813049, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]
Layer weights=[1.9666999578475952, 1.565500020980835, 1.3272000551223755, 1.1837999820709229, 1.0751999616622925, 0.9905999898910522, 0.9247999787330627, 0.8734999895095825, 0.8335000276565552, 0.8023999929428101, 0.7781999707221985, 0.7592999935150146, 0.7445999979972839, 0.7332000136375427, 0.7242000102996826, 0.7172999978065491]
Initialized model weights from checkpoint: /data/cd25/task2_V3/3D_UNet_pft/processed/background_enhancement_v3/best_model.pt
Fresh optimizer/scheduler and epoch counter are used for this transfer run.
epoch=068 train_loss=0.023215 val_conc_R=0.980372 val_conc_MAE=1.178045 val_conc_RMSE=1.895765 val_enhancement_RMSE=1.895765 best=1.875567 lr=0.0001 improved=0 no_improve=3 elapsed=0.1s
epoch=069 train_loss=0.022500 val_conc_R=0.980874 val_conc_MAE=1.165308 val_conc_RMSE=1.869814 val_enhancement_RMSE=1.869814 best=1.869814 lr=0.0001 improved=1 no_improve=0 elapsed=0.1s
epoch=070 train_loss=0.022500 val_conc_R=0.981106 val_conc_MAE=1.164131 val_conc_RMSE=1.864980 val_enhancement_RMSE=1.864980 best=1.864980 lr=0.0001 improved=1 no_improve=0 elapsed=0.1s
epoch=071 train_loss=0.022227 val_conc_R=0.980993 val_conc_MAE=1.154898 val_conc_RMSE=1.861410 val_enhancement_RMSE=1.861410 best=1.861410 lr=0.0001 improved=1 no_improve=0 elapsed=0.1s
epoch=072 train_loss=0.021405 val_conc_R=0.981057 val_conc_MAE=1.153905 val_conc_RMSE=1.856031 val_enhancement_RMSE=1.856031 best=1.856031 lr=0.0001 improved=1 no_improve=0 elapsed=0.1s
epoch=073 train_loss=0.021454 val_conc_R=0.981132 val_conc_MAE=1.153253 val_conc_RMSE=1.852352 val_enhancement_RMSE=1.852352 best=1.852352 lr=0.0001 improved=1 no_improve=0 elapsed=0.1s
epoch=074 train_loss=0.021277 val_conc_R=0.981412 val_conc_MAE=1.148198 val_conc_RMSE=1.842358 val_enhancement_RMSE=1.842358 best=1.842358 lr=0.0001 improved=1 no_improve=0 elapsed=0.1s
epoch=075 train_loss=0.021027 val_conc_R=0.981047 val_conc_MAE=1.151980 val_conc_RMSE=1.855783 val_enhancement_RMSE=1.855783 best=1.842358 lr=0.0001 improved=0 no_improve=1 elapsed=0.1s
epoch=076 train_loss=0.020574 val_conc_R=0.981318 val_conc_MAE=1.143215 val_conc_RMSE=1.842346 val_enhancement_RMSE=1.842347 best=1.842346 lr=0.0001 improved=1 no_improve=0 elapsed=0.1s
epoch=077 train_loss=0.020551 val_conc_R=0.981162 val_conc_MAE=1.146321 val_conc_RMSE=1.850648 val_enhancement_RMSE=1.850648 best=1.842346 lr=0.0001 improved=0 no_improve=1 elapsed=0.1s
epoch=078 train_loss=0.020179 val_conc_R=0.981584 val_conc_MAE=1.149161 val_conc_RMSE=1.840906 val_enhancement_RMSE=1.840906 best=1.840906 lr=0.0001 improved=1 no_improve=0 elapsed=0.1s
epoch=079 train_loss=0.020234 val_conc_R=0.981239 val_conc_MAE=1.146621 val_conc_RMSE=1.846538 val_enhancement_RMSE=1.846538 best=1.840906 lr=0.0001 improved=0 no_improve=1 elapsed=0.1s
epoch=080 train_loss=0.019981 val_conc_R=0.981684 val_conc_MAE=1.135717 val_conc_RMSE=1.824253 val_enhancement_RMSE=1.824253 best=1.824253 lr=0.0001 improved=1 no_improve=0 elapsed=0.1s
epoch=081 train_loss=0.019683 val_conc_R=0.981360 val_conc_MAE=1.139700 val_conc_RMSE=1.840440 val_enhancement_RMSE=1.840440 best=1.824253 lr=0.0001 improved=0 no_improve=1 elapsed=0.1s
epoch=082 train_loss=0.019380 val_conc_R=0.981834 val_conc_MAE=1.132057 val_conc_RMSE=1.823455 val_enhancement_RMSE=1.823455 best=1.823455 lr=0.0001 improved=1 no_improve=0 elapsed=0.1s
